informacoes_profissionais.nivel_profissional,formacao_e_idiomas.nivel_academico,formacao_e_idiomas.nivel_ingles,perfil_vaga.nivel profissional,perfil_vaga.nivel_academico,perfil_vaga.nivel_ingles,informacoes_profissionais.area_atuacao,perfil_vaga.areas_atuacao,informacoes_basicas.tipo_contratacao,match_nivel_profissional,match_nivel_academico,match_nivel_ingles,match_area_atuacao
,,,sênior,ensino superior completo,fluente,,ti - desenvolvimento/programação-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior cursando,nenhum,,ti - sap-,clt cotas,0,0,0,0
,ensino superior cursando,nenhum,assistente,ensino médio completo,básico,administrativa,financeira/controladoria-,clt full,0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - desenvolvimento/design-,,0,0,0,0
,ensino técnico completo,fluente,analista,ensino superior completo,básico,ti - desenvolvimento/programação,ti - desenvolvimento/programação-,clt full,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,hunting,0,0,0,0
,ensino superior completo,básico,pleno,ensino superior completo,nenhum,ti - desenvolvimento/programação,ti - desenvolvimento/programação-,clt full,0,1,0,0
,ensino superior completo,fluente,sênior,ensino superior completo,nenhum,ti - sap,gestão e alocação de recursos de ti-ti - sap-,pj/autônomo,0,1,0,0
,,,sênior,ensino médio completo,nenhum,,ti - processos e negócios-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,ensino superior completo,intermediário,sênior,ensino médio completo,nenhum,ti - banco de dados,financeira/controladoria-,hunting,0,0,0,0
,,,pleno,ensino superior completo,nenhum,,ti - sistemas e ferramentas-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,mestrado completo,intermediário,sênior,ensino superior completo,nenhum,"ti - processos e negócios, ti - projetos",ti - projetos-,hunting,0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - infraestrutura-,pj/autônomo,0,0,0,0
,ensino superior completo,avançado,sênior,ensino superior completo,nenhum,ti - projetos,ti - projetos-,pj/autônomo,0,1,0,0
sênior,pós graduação completo,avançado,analista,ensino superior completo,básico,"ti - processos e negócios, ti - projetos, ti - sistemas e ferramentas, ti - suporte",ti - projetos-,clt full,0,0,0,0
,,,sênior,ensino superior cursando,avançado,,ti - sap-,"clt full, pj/autônomo",0,0,0,0
,ensino superior completo,fluente,júnior,ensino superior completo,avançado,ti - sap,ti - sap-,clt cotas,0,1,0,0
,,,pleno,ensino superior completo,nenhum,,ti - projetos-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,,,pleno,ensino superior completo,avançado,,ti - projetos-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - sap-,pj/autônomo,0,0,0,0
,,,júnior,ensino médio completo,básico,,recursos humanos-,clt full,0,0,0,0
,,,analista,ensino superior completo,avançado,,ti - projetos-,hunting,0,0,0,0
,,,sênior,ensino médio completo,intermediário,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,pleno,ensino superior completo,avançado,,ti - sap-,clt full,0,0,0,0
,,,sênior,ensino técnico completo,avançado,,gestão e alocação de recursos de ti-,hunting,0,0,0,0
,ensino superior completo,fluente,sênior,ensino superior completo,básico,ti - processos e negócios,ti - projetos-,"clt full, cooperado, pj/autônomo",0,1,0,0
,,,sênior,ensino superior completo,básico,,ti - sap-,"clt full, pj/autônomo",0,0,0,0
,,,assistente,ensino médio completo,nenhum,,ti - projetos-,clt full,0,0,0,0
,pós graduação completo,,gerente,ensino superior completo,fluente,,ti - projetos-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,fluente,,ti - sap-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,básico,,ti - projetos-,"cooperado, pj/autônomo",0,0,0,0
,pós graduação completo,básico,analista,ensino superior completo,básico,financeira/controladoria,ti - projetos-,"pj/autônomo, clt full",0,0,1,0
,ensino superior cursando,avançado,sênior,ensino médio completo,fluente,ti - sap,ti - sap-,,0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - projetos-,pj/autônomo,0,0,0,0
,,,sênior,ensino médio completo,nenhum,,administrativa-,pj/autônomo,0,0,0,0
,,,sênior,ensino técnico completo,intermediário,,ti - arquitetura-,clt full,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,ensino superior cursando,intermediário,analista,ensino superior completo,básico,ti - sap,ti - sap-,pj/autônomo,0,0,0,0
,ensino superior completo,intermediário,analista,ensino superior completo,intermediário,ti - qualidade/testes,ti - qualidade/testes-,clt full,0,1,1,0
,,,sênior,ensino superior completo,avançado,,ti - projetos-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,pj/autônomo,0,0,0,0
,,,pleno,ensino superior completo,básico,,ti - sap-,pj/autônomo,0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - desenvolvimento/programação-,,0,0,0,0
,,,sênior,ensino superior completo,intermediário,,ti - desenvolvimento/programação-,,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,,,sênior,ensino superior completo,intermediário,,ti - desenvolvimento/programação-,hunting,0,0,0,0
,ensino superior completo,intermediário,analista,ensino superior completo,básico,financeira/controladoria,ti - projetos-,"clt full, pj/autônomo",0,1,0,0
,,,pleno,ensino superior completo,avançado,,ti - projetos-,hunting,0,0,0,0
,ensino superior cursando,avançado,sênior,ensino superior completo,básico,ti - desenvolvimento/programação,ti - projetos-,clt full,0,0,0,0
,,,sênior,ensino superior completo,fluente,,ti - sap-,"pj/autônomo, clt full",0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,ensino superior completo,avançado,sênior,ensino médio completo,fluente,"ti - projetos, ti - sap",administrativa-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - sap-,clt full,0,0,0,0
,ensino superior cursando,básico,sênior,ensino superior incompleto,avançado,recursos humanos,ti - sap-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,fluente,,ti - projetos-,hunting,0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - desenvolvimento/programação-,hunting,0,0,0,0
,ensino superior cursando,básico,pleno,ensino técnico completo,nenhum,ti - qualidade/testes,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,pleno,ensino superior completo,nenhum,,gestão e alocação de recursos de ti-ti - infraestrutura-,pj/autônomo,0,0,0,0
,ensino superior completo,intermediário,sênior,ensino superior completo,básico,ti - desenvolvimento/programação,ti - sap-,pj/autônomo,0,1,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,mestrado incompleto,básico,analista,ensino superior completo,básico,ti - projetos,ti - desenvolvimento/programação-,clt full,0,0,1,0
,ensino superior cursando,intermediário,sênior,ensino superior completo,nenhum,ti - qualidade/testes,ti - qualidade/testes-,clt full,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - desenvolvimento/programação-,hunting,0,0,0,0
,ensino superior completo,,pleno,ensino técnico completo,nenhum,"ti - desenvolvimento/programação, ti - infraestrutura, ti - telecom",gestão e alocação de recursos de ti-ti - desenvolvimento/programação-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,avançado,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - projetos-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,,,pleno,ensino médio completo,nenhum,,gestão e alocação de recursos de ti-,cooperado,0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - desenvolvimento/programação-,clt full,0,0,0,0
,,,sênior,ensino superior completo,básico,,ti - projetos-,pj/autônomo,0,0,0,0
,ensino superior completo,intermediário,pleno,ensino técnico completo,nenhum,ti - suporte,gestão e alocação de recursos de ti-,hunting,0,0,0,0
,,,sênior,ensino superior completo,nenhum,,ti - desenvolvimento/programação-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - projetos-,pj/autônomo,0,0,0,0
,,,pleno,ensino superior completo,técnico,,ti - desenvolvimento/programação-,hunting,0,0,0,0
,pós graduação completo,intermediário,analista,ensino superior completo,básico,ti - sistemas e ferramentas,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,sênior,ensino superior completo,nenhum,,ti - ux-,,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,pós graduação completo,básico,analista,ensino superior completo,básico,ti - segurança da informação,ti - projetos-,"clt full, pj/autônomo",0,0,1,0
,,,analista,ensino superior completo,intermediário,,ti - projetos-,hunting,0,0,0,0
,,,pleno,ensino superior completo,intermediário,,ti - projetos-,hunting,0,0,0,0
,,,sênior,ensino médio completo,avançado,,administrativa-,cooperado,0,0,0,0
,ensino superior cursando,avançado,sênior,ensino superior completo,fluente,ti - sap,ti - sap-,"clt full, pj/autônomo",0,0,0,0
,,,pleno,ensino superior completo,nenhum,,gestão e alocação de recursos de ti-ti - arquitetura-,clt full,0,0,0,0
,,,pleno,ensino superior completo,nenhum,,ti - projetos-,hunting,0,0,0,0
,ensino superior completo,,sênior,ensino superior completo,nenhum,,ti - desenvolvimento/programação-,pj/autônomo,0,1,0,0
,,,pleno,ensino superior completo,avançado,,ti - projetos-,hunting,0,0,0,0
,ensino superior completo,avançado,sênior,ensino superior completo,avançado,ti - sap,ti - sap-,"pj/autônomo, clt full",0,1,1,0
,,,pleno,ensino superior completo,avançado,,ti - projetos-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,sênior,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior cursando,intermediário,,ti - projetos-,pj/autônomo,0,0,0,0
,,,analista,ensino médio completo,básico,,ti - infraestrutura-ti - suporte-,cooperado,0,0,0,0
,,,pleno,ensino superior completo,avançado,,gestão e alocação de recursos de ti-ti - infraestrutura-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,nenhum,,ti - sap-,hunting,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,clt full,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,analista,ensino superior completo,intermediário,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,sênior,ensino superior completo,nenhum,,ti - sap-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,avançado,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,doutorado completo,avançado,pleno,ensino médio completo,avançado,gestão e alocação de recursos de ti,gestão e alocação de recursos de ti-,pj/autônomo,0,0,1,0
,,,analista,ensino superior completo,básico,,ti - projetos-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,fluente,,gestão e alocação de recursos de ti-ti - infraestrutura-,pj/autônomo,0,0,0,0
,,,sênior,ensino médio completo,nenhum,,gestão e alocação de recursos de ti-,cooperado,0,0,0,0
,,,sênior,ensino superior completo,intermediário,,ti - desenvolvimento/mobile-,clt cotas,0,0,0,0
,,,sênior,ensino superior completo,fluente,,ti - projetos-,pj/autônomo,0,0,0,0
,ensino superior incompleto,avançado,analista,pós graduação completo,básico,ti - desenvolvimento/programação,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,ensino superior completo,básico,júnior,ensino superior completo,nenhum,recursos humanos,administrativa-,cooperado,0,1,0,0
,ensino superior completo,básico,assistente,ensino médio completo,nenhum,administrativa,ti - projetos-,clt full,0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-ti - sap-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - desenvolvimento/programação-,clt full,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - desenvolvimento/programação-,clt full,0,0,0,0
,ensino superior completo,intermediário,sênior,ensino superior completo,nenhum,ti - desenvolvimento/programação,ti - projetos-,pj/autônomo,0,1,0,0
,,,analista,ensino superior completo,fluente,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,pós graduação completo,intermediário,analista,ensino superior completo,básico,ti - banco de dados,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,ensino superior completo,básico,analista,ensino superior completo,básico,ti - desenvolvimento/programação,ti - desenvolvimento/programação-,clt full,0,1,1,0
,,,pleno,ensino médio completo,avançado,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
